kata,f1_frekuensi,f2_panjang,f3_huruf_bingung,f4_suku_kata,f5_fonem_kompleks,f6_visual,f1_frekuensi_norm,f2_panjang_norm,f3_huruf_bingung_norm,f4_suku_kata_norm,f5_fonem_kompleks_norm,f6_visual_norm,klaster,label
tulisan,2,7,0,3,0,0.2857,0.0030211480362537,0.2272727272727272,0.0,0.25,0.0,0.2857,0,mudah
melirik,5,7,0,3,0,0.1429,0.0120845921450151,0.2272727272727272,0.0,0.25,0.0,0.1429,0,mudah
pa,1,2,1,1,0,0.5,0.0,0.0,1.0,0.0,0.0,0.5,1,sulit
pan,2,3,1,1,0,0.6667,0.0030211480362537,0.0454545454545454,1.0,0.0,0.0,0.6667,1,sulit
ahmadi,2,6,1,3,0,0.3333,0.0030211480362537,0.1818181818181818,1.0,0.25,0.0,0.3333,1,sulit
yaaaahh,1,7,0,4,0,0.0,0.0,0.2272727272727272,0.0,0.375,0.0,0.0,0,mudah
kecewa,2,6,0,3,0,0.1667,0.0030211480362537,0.1818181818181818,0.0,0.25,0.0,0.1667,0,mudah
menggema,2,8,1,3,0,0.375,0.0030211480362537,0.2727272727272727,1.0,0.25,0.0,0.375,1,sulit
mengemas,1,8,1,3,0,0.375,0.0,0.2727272727272727,1.0,0.25,0.0,0.375,1,sulit
mejanya,1,7,1,3,0,0.2857,0.0,0.2272727272727272,1.0,0.25,0.0,0.2857,1,sulit
memasuki,1,8,0,4,0,0.375,0.0,0.2727272727272727,0.0,0.375,0.0,0.375,0,mudah
hangat,3,6,1,2,0,0.1667,0.0060422960725075,0.1818181818181818,1.0,0.125,0.0,0.1667,1,sulit
layak,1,5,0,2,0,0.0,0.0,0.1363636363636363,0.0,0.125,0.0,0.0,0,mudah
kesepakatan,1,11,1,5,0,0.1818,0.0,0.409090909090909,1.0,0.5,0.0,0.1818,1,sulit
berperawakan,1,12,1,5,0,0.3333,0.0,0.4545454545454545,1.0,0.5,0.0,0.3333,1,sulit
mencalonkan,1,11,0,4,0,0.3636,0.0,0.409090909090909,0.0,0.375,0.0,0.3636,0,mudah
alasannya,2,9,1,4,0,0.2222,0.0030211480362537,0.3181818181818182,1.0,0.375,0.0,0.2222,1,sulit
rata,2,4,0,2,0,0.0,0.0030211480362537,0.0909090909090909,0.0,0.125,0.0,0.0,0,mudah
menyenang,1,9,1,3,0,0.4444,0.0,0.3181818181818182,1.0,0.25,0.0,0.4444,1,sulit
deh,2,3,1,1,0,0.3333,0.0030211480362537,0.0454545454545454,1.0,0.0,0.0,0.3333,1,sulit
bocah,2,5,1,2,0,0.2,0.0030211480362537,0.1363636363636363,1.0,0.125,0.0,0.2,1,sulit
oper,1,4,1,2,0,0.25,0.0,0.0909090909090909,1.0,0.125,0.0,0.25,1,sulit
operan,1,6,1,3,0,0.3333,0.0,0.1818181818181818,1.0,0.25,0.0,0.3333,1,sulit
fik,2,3,0,1,0,0.0,0.0030211480362537,0.0454545454545454,0.0,0.0,0.0,0.0,0,mudah
berbincang,1,10,1,3,0,0.4,0.0,0.3636363636363636,1.0,0.25,0.0,0.4,1,sulit
mengoper,2,8,1,3,0,0.375,0.0030211480362537,0.2727272727272727,1.0,0.25,0.0,0.375,1,sulit
berucap,1,7,1,3,0,0.4286,0.0,0.2272727272727272,1.0,0.25,0.0,0.4286,1,sulit
pertengahan,1,11,1,4,0,0.2727,0.0,0.409090909090909,1.0,0.375,0.0,0.2727,1,sulit
menyeberang,4,11,1,4,0,0.3636,0.0090634441087613,0.409090909090909,1.0,0.375,0.0,0.3636,1,sulit
kirinya,1,7,1,3,0,0.1429,0.0,0.2272727272727272,1.0,0.25,0.0,0.1429,1,sulit
motor,2,5,0,2,0,0.2,0.0030211480362537,0.1363636363636363,0.0,0.125,0.0,0.2,0,mudah
ugal,1,4,0,2,0,0.25,0.0,0.0909090909090909,0.0,0.125,0.0,0.25,0,mudah
ugalan,1,6,0,3,0,0.3333,0.0,0.1818181818181818,0.0,0.25,0.0,0.3333,0,mudah
senggolan,1,9,1,3,0,0.2222,0.0,0.3181818181818182,1.0,0.25,0.0,0.2222,1,sulit
terelakkan,1,10,0,4,0,0.1,0.0,0.3636363636363636,0.0,0.375,0.0,0.1,0,mudah
tabrakan,1,8,1,3,1,0.25,0.0,0.2727272727272727,1.0,0.25,0.5,0.25,1,sulit
sobek,1,5,1,2,0,0.2,0.0,0.1363636363636363,1.0,0.125,0.0,0.2,1,sulit
dilarikan,1,9,1,4,0,0.2222,0.0,0.3181818181818182,1.0,0.375,0.0,0.2222,1,sulit
sebelas,2,7,1,3,0,0.1429,0.0030211480362537,0.2272727272727272,1.0,0.25,0.0,0.1429,1,sulit
jahitan,1,7,0,3,0,0.1429,0.0,0.2272727272727272,0.0,0.25,0.0,0.1429,0,mudah
paha,2,4,1,2,0,0.25,0.0030211480362537,0.0909090909090909,1.0,0.125,0.0,0.25,1,sulit
membesuk,1,8,1,3,0,0.5,0.0,0.2727272727272727,1.0,0.25,0.0,0.5,1,sulit
patungan,1,8,1,3,0,0.5,0.0,0.2727272727272727,1.0,0.25,0.0,0.5,1,sulit
gan,1,3,0,1,0,0.3333,0.0,0.0454545454545454,0.0,0.0,0.0,0.3333,0,mudah
da,1,2,1,1,0,0.5,0.0,0.0,1.0,0.0,0.0,0.5,1,sulit
duit,1,4,1,2,0,0.5,0.0,0.0909090909090909,1.0,0.125,0.0,0.5,1,sulit
jajannya,1,8,1,3,0,0.25,0.0,0.2727272727272727,1.0,0.25,0.0,0.25,1,sulit
kenang,1,6,1,2,0,0.3333,0.0,0.1818181818181818,1.0,0.125,0.0,0.3333,1,sulit
untung,3,6,1,2,0,0.6667,0.0060422960725075,0.1818181818181818,1.0,0.125,0.0,0.6667,1,sulit
dengarnya,1,9,1,3,0,0.3333,0.0,0.3181818181818182,1.0,0.25,0.0,0.3333,1,sulit
terpelit,1,8,1,3,0,0.125,0.0,0.2727272727272727,1.0,0.25,0.0,0.125,1,sulit
mendengarnya,2,12,1,4,0,0.4167,0.0030211480362537,0.4545454545454545,1.0,0.375,0.0,0.4167,1,sulit
timpalnya,1,9,1,3,0,0.3333,0.0,0.3181818181818182,1.0,0.25,0.0,0.3333,1,sulit
melangsungkan,1,13,1,4,0,0.3846,0.0,0.5,1.0,0.375,0.0,0.3846,1,sulit
lumayan,2,7,0,3,0,0.4286,0.0030211480362537,0.2272727272727272,0.0,0.25,0.0,0.4286,0,mudah
gusar,1,5,0,2,0,0.2,0.0,0.1363636363636363,0.0,0.125,0.0,0.2,0,mudah
riuh,2,4,0,2,0,0.25,0.0030211480362537,0.0909090909090909,0.0,0.125,0.0,0.25,0,mudah
antrean,3,7,0,3,1,0.2857,0.0060422960725075,0.2272727272727272,0.0,0.25,0.5,0.2857,0,mudah
